#options: 640x360 fps=20/1 timebase=1/20 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=20 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:27.63 aq:4.61 tex:1894 mv:3772 misc:70 imb:920 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:27.63 aq:19.09 tex:16666 mv:241 misc:149 imb:19 pmb:9 smb:892 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:27.63 aq:16.97 tex:28074 mv:673 misc:229 imb:59 pmb:15 smb:846 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:27.63 aq:21.68 tex:817 mv:66 misc:197 imb:1 pmb:20 smb:899 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:27.63 aq:17.74 tex:17 mv:3 misc:108 imb:0 pmb:1 smb:919 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:27.63 aq:10.00 tex:1 mv:11 misc:108 imb:0 pmb:1 smb:919 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:27.63 aq:10.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:27.63 aq:10.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:27.63 aq:18.82 tex:35 mv:3 misc:106 imb:0 pmb:1 smb:919 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:27.63 aq:17.44 tex:1263 mv:147 misc:230 imb:2 pmb:39 smb:879 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:27.63 aq:20.00 tex:1065 mv:93 misc:202 imb:0 pmb:31 smb:889 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:27.63 aq:23.47 tex:2100 mv:175 misc:229 imb:1 pmb:55 smb:864 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:27.63 aq:22.41 tex:5583 mv:267 misc:262 imb:4 pmb:77 smb:839 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:27.63 aq:19.50 tex:3054 mv:176 misc:202 imb:1 pmb:56 smb:863 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:27.63 aq:23.85 tex:2334 mv:182 misc:220 imb:2 pmb:56 smb:862 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:27.63 aq:15.81 tex:3183 mv:229 misc:244 imb:5 pmb:61 smb:854 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:27.63 aq:16.81 tex:3062 mv:197 misc:229 imb:1 pmb:59 smb:860 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:27.63 aq:23.14 tex:6794 mv:278 misc:224 imb:4 pmb:66 smb:850 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:27.63 aq:19.93 tex:4266 mv:222 misc:200 imb:3 pmb:62 smb:855 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:27.63 aq:24.63 tex:4987 mv:245 misc:224 imb:2 pmb:63 smb:855 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:27.63 aq:24.36 tex:3404 mv:237 misc:215 imb:4 pmb:59 smb:857 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:27.63 aq:17.42 tex:3626 mv:223 misc:239 imb:3 pmb:59 smb:858 d:- ref:0 ;
in:22 out:22 type:P dur:2 cpbdur:2 q:27.63 aq:19.93 tex:6163 mv:305 misc:204 imb:6 pmb:59 smb:855 d:- ref:0 ;
in:23 out:23 type:P dur:2 cpbdur:2 q:27.63 aq:17.30 tex:3737 mv:243 misc:236 imb:3 pmb:61 smb:856 d:- ref:0 ;
in:24 out:24 type:P dur:2 cpbdur:2 q:27.63 aq:17.16 tex:4879 mv:276 misc:229 imb:5 pmb:58 smb:857 d:- ref:0 ;
in:25 out:25 type:P dur:2 cpbdur:2 q:27.63 aq:24.95 tex:5081 mv:294 misc:217 imb:4 pmb:66 smb:850 d:- ref:0 ;
in:26 out:26 type:P dur:2 cpbdur:2 q:27.63 aq:20.82 tex:5282 mv:275 misc:203 imb:3 pmb:61 smb:856 d:- ref:0 ;
in:27 out:27 type:P dur:2 cpbdur:2 q:27.63 aq:16.42 tex:8153 mv:407 misc:232 imb:9 pmb:69 smb:842 d:- ref:0 ;
in:28 out:28 type:P dur:2 cpbdur:2 q:27.63 aq:20.52 tex:3812 mv:239 misc:213 imb:2 pmb:59 smb:859 d:- ref:0 ;
in:29 out:29 type:P dur:2 cpbdur:2 q:27.63 aq:24.13 tex:2882 mv:207 misc:231 imb:3 pmb:53 smb:864 d:- ref:0 ;
in:30 out:30 type:P dur:2 cpbdur:2 q:27.63 aq:17.08 tex:5252 mv:267 misc:217 imb:2 pmb:61 smb:857 d:- ref:0 ;
in:31 out:31 type:P dur:2 cpbdur:2 q:27.63 aq:17.65 tex:4893 mv:297 misc:234 imb:6 pmb:63 smb:851 d:- ref:0 ;
in:32 out:32 type:P dur:2 cpbdur:2 q:27.63 aq:23.45 tex:6257 mv:325 misc:250 imb:2 pmb:73 smb:845 d:- ref:0 ;
in:33 out:33 type:P dur:2 cpbdur:2 q:27.63 aq:20.07 tex:4662 mv:279 misc:203 imb:2 pmb:61 smb:857 d:- ref:0 ;
in:34 out:34 type:P dur:2 cpbdur:2 q:27.63 aq:24.94 tex:3403 mv:255 misc:246 imb:4 pmb:59 smb:857 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:27.63 aq:24.44 tex:1195 mv:156 misc:217 imb:0 pmb:34 smb:886 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:27.63 aq:22.14 tex:6818 mv:1139 misc:387 imb:98 pmb:45 smb:777 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:27.63 aq:22.44 tex:20542 mv:5603 misc:847 imb:554 pmb:41 smb:325 d:- ref:0 ;
in:38 out:38 type:I dur:2 cpbdur:2 q:24.74 aq:20.52 tex:42166 mv:14780 misc:70 imb:920 pmb:0 smb:0 d:- ref:;
in:39 out:39 type:P dur:2 cpbdur:2 q:27.63 aq:23.70 tex:23728 mv:10864 misc:1000 imb:514 pmb:376 smb:30 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:27.63 aq:23.96 tex:23907 mv:10664 misc:997 imb:498 pmb:400 smb:22 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:27.63 aq:24.04 tex:24179 mv:10483 misc:1002 imb:511 pmb:383 smb:26 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:27.63 aq:24.13 tex:35691 mv:10903 misc:990 imb:595 pmb:325 smb:0 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:27.63 aq:23.47 tex:29886 mv:9472 misc:986 imb:441 pmb:412 smb:67 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:27.63 aq:23.78 tex:25249 mv:8750 misc:993 imb:341 pmb:498 smb:81 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:27.63 aq:23.95 tex:25906 mv:8880 misc:990 imb:358 pmb:456 smb:106 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:27.63 aq:23.61 tex:32163 mv:9615 misc:982 imb:408 pmb:433 smb:79 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:27.63 aq:23.54 tex:47369 mv:10436 misc:979 imb:482 pmb:392 smb:46 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:27.63 aq:23.49 tex:43112 mv:9207 misc:985 imb:390 pmb:461 smb:69 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:27.63 aq:24.07 tex:50528 mv:9418 misc:982 imb:392 pmb:466 smb:62 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:27.63 aq:24.43 tex:63468 mv:9790 misc:990 imb:415 pmb:474 smb:31 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:27.63 aq:24.76 tex:74156 mv:10182 misc:990 imb:392 pmb:514 smb:14 d:- ref:0 ;
